date_marker,ISIN,Cash_and_cash_equivalents,Inventory,Long-term_debt,Net_debt,Net_income,Number_of_employees,Sales,Short-term_debt,Total_interest-bearing_debt,Trade_payables,Trade_receivables
2018-09-30,SE0000112724,52.4713218659163,375.044097617269,413.187457054853,718.818385340273,95.2392298951745,,457.359732665122,358.102250151336,771.28970720619,291.109344743192,280.847425706685
2018-09-30,SE0000113250,424.223860546947,4430.24470706284,381.336783818901,792.58802973479,79.1898339390755,,4140.55194833875,835.475106462836,1216.81189028174,4160.91773763299,3678.89797458798
2018-09-30,SE0000115446,3457.00817806274,6527.74223390222,8570.73541717976,9478.62482023984,716.840984649956,,8868.68477617204,4364.89758112282,12935.6329983026,6573.14638511091,9648.23691601306
2018-09-30,SE0000148884,,,81253.8749310672,57100.2218358368,436.216815836728,,1611.09026232362,1355.34779727459,82609.2227283418,,
2018-09-30,SE0000202624,91.0019235312939,522.002523064613,1038.97089716792,947.968973636627,-139.735459402204,,546.159983344376,,1038.97089716792,155.477754458785,459.75333494693
2018-09-30,SE0000242455,,,100376.864245042,74481.7828514278,530.975524894893,,1417.34426084161,2846.42399539053,103223.288240433,,
2018-09-30,SE0000382335,461.213939054141,653.207047900648,1444.25309457406,1476.36674013448,101.020280535509,,1747.8657900314,493.327584614566,1937.58067918862,854.412382149206,1536.37534859458
2018-09-30,SE0000667891,1326.59506186098,2499.64858040214,2652.31882870942,1549.16253228486,378.073794558644,,2333.69749701768,223.438765436411,2875.75759414583,2243.77827838808,
2018-09-30,SE0000667925,2723.95864085108,180.358067594469,8647.21575716883,6372.84534278512,233.437022618949,,1987.91470270604,449.588226467371,9096.8039836362,2711.95413178951,
2018-09-30,SE0000695876,322.572775751352,886.784701645374,827.730261906981,824.729134641588,102.831459119916,,973.631319947541,319.571648485959,1147.30191039294,307.276707753539,640.208213098347
2018-09-30,SE0005190238,117.624826692045,58.9576291814446,964.32995776087,1084.76229060441,60.8339379653335,,486.479295387864,238.057159535587,1202.38711729646,602.839338116348,
2018-09-30,SE0007100581,54.1171013340354,1123.09927115589,1845.88688933104,2775.75228881836,229.112335085869,,2036.54341141135,983.982500821352,2829.86939015239,745.828530728817,1414.69266868383
2018-09-30,SE0007100599,,,75830.6443413869,124895.880382195,394.50760718435,,1548.81476184726,83669.2015163675,159499.845857754,,
2018-09-30,SE0009922164,295.659440919757,1519.24807018787,4184.4427029714,5146.35239680856,94.9509173929691,,2849.20025096089,1257.56913475692,5442.01183772832,1467.16399054974,1872.50979249179
2018-09-30,SE0011166610,1163.95332618803,1271.21942328662,1402.20410683751,836.249590918422,374.421836197376,,2275.26616323739,597.998810268939,2000.20291710645,2702.27307609469,2352.20610217005
2018-09-30,SE0011166628,1163.95332618803,1271.21942328662,1402.20410683751,836.249590918422,374.421836197376,,2275.26616323739,597.998810268939,2000.20291710645,2702.27307609469,2352.20610217005
2018-09-30,SE0012673267,63.5479988388148,0.0,5.99199989051077,-56.605998965663,21.2420011166241,,64.3350033818854,0.949999982641059,6.94199987315183,2.92599994653447,39.9339992703033
2018-09-30,SE0015810247,25.0739342495799,0.0,277.652677327394,397.794578500092,-1289.23740569502,,-1282.7023223117,145.215835422277,422.868512749672,,
2018-09-30,SE0015811559,126.91864015907,1007.31384504586,318.700353473425,262.647041000426,123.397750943899,,1202.2631341964,70.8653276860714,389.565681159496,469.240769527853,223.922818221152
2018-09-30,SE0015811963,1445.28480467945,444.554077506065,6204.39497369528,4915.94327127188,2460.74720632285,,3421.88498450816,156.83310225606,6361.22807595134,,
2018-09-30,SE0015812219,241.63915014267,0.0,1189.12407099456,1067.04595868289,92.1638965383172,,325.600919157267,119.561037831008,1308.68510882556,262.647041000426,
2018-09-30,SE0015961909,457.199991645782,476.09999130043,2211.29995959387,2125.49996116166,177.600009335865,,946.100049733454,371.399993213568,2582.69995280744,184.299996632366,905.499983454189
2018-09-30,SE0016101844,12.8273987956345,0.0,0.0290431670844555,49.7799883827567,3.64234794452786,,94.1148111365736,62.5783440113068,62.6073871783912,78.9877334140241,
2018-09-30,SE0016589188,1079.14727830142,1780.83019506186,706.813876278698,-96.810556948185,111.673042520881,,2925.79527238011,275.522845074534,982.336721353233,3118.84890264273,1907.36159299314
2018-09-30,US0258161092,26027.5504236817,0.0,47610.8477532864,23556.6076921821,1410.8449126482,,9389.29755699635,1973.31036257744,49584.1581158638,,
2018-09-30,US0311621009,25760.6541704535,2597.50321286917,25269.0484911203,3879.46618402004,1598.26977002621,,5073.36735498905,4371.07186335325,29640.1203544736,897.11579310894,2962.54841083288
2018-09-30,US0378331005,57082.2209202647,3405.9405734539,80701.6783753037,41482.5653969049,12143.9271122217,,53889.8049784899,17863.1079418659,98564.7863171697,48117.0896787643,19962.1178301573
2018-09-30,US0970231058,8600.94699919224,53411.9669605494,9028.84196001291,1623.76236641407,2029.86279022694,,21619.1993744373,1195.8674055934,10224.7093656063,11763.2371221185,11416.2719929218
2018-09-30,US1491231015,6927.24920475483,10171.3301149607,21903.5728334785,23871.7174621224,1484.78315913677,,11615.1826751232,8895.39383339882,30798.9666668773,5844.16699004173,14462.3331023455
2018-09-30,US1667641005,8629.35853582621,5190.70164746046,25819.1991550326,22459.7501869798,3479.39632022381,,36268.4293967485,5269.90956777334,31089.108722806,13202.7549782395,14440.8092109561
2018-09-30,US17275R1023,37591.4575400352,1387.40570640564,16171.3961567879,-15029.3459124565,3069.55461323261,,11305.1981824636,6390.71547079086,22562.1116275787,1593.04535627365,4003.35387039185
2018-09-30,US1912161007,16226.4312406182,2261.730507195,21974.1711972356,22376.237488389,1616.32445812225,,7500.43328332901,16628.4975317717,38602.6687290072,8882.4794985652,3187.2578369379
2018-09-30,US2546871060,3572.96597063541,1198.45027256012,14708.5664198399,14398.6223838329,1996.33265519142,,12401.8512278795,3263.02193462849,17971.5883544683,8160.99865919352,7118.38136029243
2018-09-30,US38141G1040,,,208477.829130471,333647.867116213,2170.00155973434,,11141.462049365,135682.30654031,344160.135670781,163554.023978233,
2018-09-30,US4370761029,1556.85983848572,13021.4909620285,20592.2073421478,21199.4179821014,2479.68810260296,,22748.7814700603,2164.07047843933,22756.2778205872,7990.82141590118,1916.0672955513
2018-09-30,US4385161066,10032.7162544131,4357.29657286406,12104.1755617261,5680.58541548252,2010.0886080265,,9252.59777569771,3609.12610816956,15713.3016698956,6069.73737180233,7376.66805696487
2018-09-30,US4581401001,11352.5612744093,6371.93280690908,21814.8944009542,13089.1088317037,5500.66163992882,,16475.3327611685,2626.77570515871,24441.670106113,3093.41367048025,4698.23501247168
2018-09-30,US4592001014,12624.1927776933,1629.78905600309,30984.9330884814,27772.7075375319,2314.43906450272,,16125.4157109261,9411.9672267437,40396.9003152251,4635.38524961472,23099.4402390718
2018-09-30,US46625H1005,,,249991.388930976,441999.997325957,7159.11370360851,,28682.0214082003,212004.303495705,461995.692426682,4993.54280233383,
2018-09-30,US4781601046,16671.5453145504,7471.3731790781,25380.9727263451,10235.9017891288,3382.24490332603,,17490.694029808,1526.47437733412,26907.4471036792,6026.68958902359,12094.7050495148
2018-09-30,US5801351017,2216.53033527732,36.0740419685841,27460.3528256893,25243.822490412,1407.66384855509,,4616.32582204342,0.0,27460.3528256893,803.099435520172,1951.61428005695
2018-09-30,US58933Y1055,8854.9289175868,4662.93583059311,17164.0119495392,11456.7369087338,1676.50675177574,,9285.26816368103,3147.65387678146,20311.6658263206,2661.2139313817,6348.68700420856
2018-09-30,US5949181045,116986.654479504,3111.49373924732,68752.4748315811,-41284.5455961227,7586.40798854828,,24925.7865371704,6949.63405179977,75702.1088833809,7327.59358459711,14972.0188504457
2018-09-30,US6541061031,3568.99983823299,4758.66645097733,3061.161454916,-494.590425491333,736.602440714836,,8149.58851468563,13.2479578256607,3074.40941274166,2273.34956288338,3838.3749806881
2018-09-30,US7427181091,10599.6586949229,4619.69114202261,18819.9271405935,18816.4280372858,2799.13077056408,,15282.1673065424,10596.1595916152,29416.0867322087,8980.44863927364,4421.9918051362
2018-09-30,US79466L3024,3044.8789358139,0.0,3252.28373289108,830.5017619133,90.8152252435684,,2933.7642288208,623.096964836121,3875.3806977272,141.211776733398,2400.60020446777
2018-09-30,US88579Y1010,3033.14677459002,3820.06024378538,11656.4786208272,9748.60088807344,1326.58970153332,,7008.65796947479,1125.26904183626,12781.7476626635,1746.87902516127,4588.0326885581
2018-09-30,US89417E1091,,,5134.7395298481,5342.22984284163,605.261924743652,,6639.82648408413,516.573393344879,5651.31292319298,4567.36975282431,
2018-09-30,US91324P1021,,,27596.211628139,20051.6572183371,2740.87360239029,,48623.8542838097,1291.4334833622,28887.6451115012,16350.408855021,
2018-09-30,US92343V1044,2972.87987869978,1093.41368257999,91640.1199793816,94265.1737732291,4233.3944849968,,28033.772130847,5597.93367254734,97238.0536519289,16652.6042901278,20673.2672016621
2018-09-30,US92826C8394,11364.6146535873,0.0,14317.6925522089,2953.07789862156,2359.14591121674,,4671.86548161507,0.0,14317.6925522089,157.554884970188,1040.03443193436
2018-09-30,US9311421039,8096.73024845123,44464.0581989288,44036.8925743103,45732.3164687157,1478.99081110954,,108021.68325305,9792.1541428566,53829.0467171669,43889.5027823448,5105.68830251694
2018-09-30,US9314271084,1044.82227385044,9693.97233963013,10285.714455843,13077.5007683039,976.628737807274,,29388.4371653795,3836.60858631134,14122.3230421543,12947.6707816124,6309.56071376801
